state,model,value
NM,MERCURY SABLE,6
NM,SCION,10
NM,NISSAN ROGUE,2
NM,MORGAN CRAFT,2
NM,HONDA CR-V,20
NM,DODGE,0
NM,CHRYSLER,4
NM,CHEVROLET SILVERADO,60
NM,PONTIAC,14
NM,CHEVROLET UPLANDER,6
NM,CHEVROLET MALIBU,8
NM,PONTIAC MONTANA,2
NM,SUBARU OUTBACK,6
NM,DODGE JOURNEY,6
NM,UN FORD MUSTAN,2
NM,VOLKSWAGEN NEW BEETLE,2
NM,MITSUBISHI ECLIPSE,12
NM,SHELBY,6
NM,NISSAN,30
NM,PLYMOUTH WATER EXTRACTION,2
NM,GMC ENVOY XL,6
NM,FORD RANGER,10
NM,LEXUS RX,2
NM,GMC,12
NM,CADILLAC DEVILLE,2
NM,JEEP,4
NM,TESLA MOTORS,4
NM,FORD FESTIVA,2
NM,LAMBORGHINI,-4
NM,FORD ESCAPE,0
NM,FORD CROWN VICTORIA,2
NM,MINI CITY MARKETPLACE,2
NM,NISSAN SENTRA,24
NM,SUZUKI,8
NM,HONDA STORE,6
NM,HONDA ODYSSEY,10
NM,MERCEDES-BENZ HATAY,2
NM,CHEVROLET TAHOE,30
NM,CHRYSLER TOWN AND COUNTRY,8
NM,CHEVROLET COBALT,8
NM,AUDI,16
NM,SMART BANK,2
NM,BENTLEY,18
NM,TOYOTA TUNDRA,6
NM,MAZDA PROTEGE,6
NM,NISSAN ALTIMA,22
NM,SHELBY GT500,2
NM,KIA MOTORS,2
NM,VOLKSWAGEN ROUTAN,6
NM,KIA,12
NM,SOUTH AUSTIN BREWERY,2
NM,HONDA,114
NM,CHEVROLET COLORADO,2
NM,KIA SPORTAGE,2
NM,NT FORD DEALERS,2
NM,MERCEDES-BENZ C-CLASS,10
NM,CADILLAC XLR,12
NM,FERRARI,0
NM,TESLA STORE,2
NM,SAAB 9-3,4
NM,FIAT,2
NM,MARKS MITSUBISHI,2
NM,CADILLAC,2
NM,LEXUS LX,2
